Status,Module,File Time Stamp,Link Time Stamp,File Size,Attr.,Link Checksum,Real Checksum,CPU,Subsystem,Symbols,Preferred Base,Actual Base,Virtual Size,Load Order,File Ver,Product Ver,Image Ver,Linker Ver,OS Ver,Subsystem Ver
DE,"c:\windows\system32\WUCEFFECTS.DLL",2018-09-15 00:29:07,2021-11-22 06:30:31,166912,A,0x00031542,0x00031542,x86,GUI,"CV,Unknown",0x10000000,Unknown,0x0002F000,Not Loaded,10.0.17763.1,10.0.17763.1,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\XMLLITE.DLL",2018-09-15 00:29:07,1980-11-06 17:42:20,173208,A,0x00036E42,0x00036E42,x86,GUI,"CV,Unknown",0x10000000,Unknown,0x0002C000,Not Loaded,10.0.17763.1,10.0.17763.1,10.0,14.13,10.0,10.0
DE,"c:\windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.17763.437_none_588eeb4778ace641\COMCTL32.DLL",2018-09-15 00:29:12,2091-12-11 18:59:24,569856,A,0x00093940,0x00093940,x86,GUI,"CV,Unknown",0x5BF80000,Unknown,0x0008E000,Not Loaded,5.82.17763.1,10.0.17763.1,10.0,14.13,10.0,10.0
DE,"c:\windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.17763.437_none_4d6374a11b9a86dc\COMCTL32.DLL",2019-04-02 02:09:50,2040-12-17 14:39:22,2148664,A,0x0020E944,0x0020E944,x86,GUI,"CV,Unknown",0x71A00000,Unknown,0x0020F000,Not Loaded,6.10.17763.437,10.0.17763.437,10.0,14.13,10.0,10.0
DE,"c:\windows\winsxs\x86_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.17763.437_none_7e4e6786762d00aa\GDIPLUS.DLL",2019-04-02 01:57:36,2032-06-02 17:05:26,1484800,A,0x00178A7B,0x00178A7B,x86,Console,"CV,Unknown",0x10000000,Unknown,0x0016F000,Not Loaded,10.0.17763.437,10.0.17763.437,10.0,14.13,10.0,10.0
6,"c:\lib\ffmpeg-3.4.2-win64-shared\bin\AVCODEC-57.DLL",2018-02-24 22:55:32,1969-12-31 17:00:00,33008128,,0x01F7FF44,0x01F7FF44,x64,Console,"None",0x0000000180000000,Unknown,0x02937000,Not Loaded,57.107.100.0,57.107.100.0,0.0,2.29,4.0,5.2
6,"c:\lib\ffmpeg-3.4.2-win64-shared\bin\AVFORMAT-57.DLL",2018-02-24 22:55:30,1969-12-31 17:00:00,3972608,,0x003CB051,0x003CB051,x64,Console,"None",0x0000000180000000,Unknown,0x003D4000,Not Loaded,57.83.100.0,57.83.100.0,0.0,2.29,4.0,5.2
6,"c:\lib\ffmpeg-3.4.2-win64-shared\bin\AVUTIL-55.DLL",2018-02-24 22:55:32,1969-12-31 17:00:00,678912,,0x000AA730,0x000AA730,x64,Console,"None",0x0000000180000000,Unknown,0x000C3000,Not Loaded,55.78.100.0,55.78.100.0,0.0,2.29,4.0,5.2
6,"c:\lib\ffmpeg-3.4.2-win64-shared\bin\SWRESAMPLE-2.DLL",2018-02-24 22:55:32,1969-12-31 17:00:00,377344,,0x000670B0,0x000670B0,x64,Console,"None",0x0000000180000000,Unknown,0x0009A000,Not Loaded,2.9.100.0,2.9.100.0,0.0,2.29,4.0,5.2
6,"c:\lib\ffmpeg-3.4.2-win64-shared\bin\SWSCALE-4.DLL",2018-02-24 22:55:32,1969-12-31 17:00:00,529920,,0x00088218,0x00088218,x64,Console,"None",0x0000000180000000,Unknown,0x00094000,Not Loaded,4.8.100.0,4.8.100.0,0.0,2.29,4.0,5.2
6,"c:\users\black\desktop\tactview\tactview-native\FFMPEGMEDIADECODER.DLL",2019-04-21 08:38:29,2019-04-21 08:38:29,29696,A,0x00000000,0x0000E24F,x64,GUI,"Unknown",0x0000000180000000,Unknown,0x0000C000,Not Loaded,N/A,N/A,0.0,14.16,6.0,6.0
6,"c:\users\black\installed\jdk-11\bin\API-MS-WIN-CORE-CONSOLE-L1-1-0.DLL",2018-08-22 19:18:04,2068-05-03 16:52:46,19256,,0x00008B68,0x00008B68,x64,Console,"CV,Unknown",0x0000000180000000,Unknown,0x00003000,Not Loaded,10.0.16299.15,10.0.16299.15,10.0,14.10,10.0,10.0
6,"c:\users\black\installed\jdk-11\bin\API-MS-WIN-CORE-DATETIME-L1-1-0.DLL",2018-08-22 19:18:04,2056-05-09 00:02:06,18744,,0x00013E7B,0x00013E7B,x64,Console,"CV,Unknown",0x0000000180000000,Unknown,0x00003000,Not Loaded,10.0.16299.15,10.0.16299.15,10.0,14.10,10.0,10.0
6,"c:\users\black\installed\jdk-11\bin\API-MS-WIN-CORE-DEBUG-L1-1-0.DLL",2018-08-22 19:18:04,1975-12-15 01:01:48,18744,,0x00012EB2,0x00012EB2,x64,Console,"CV,Unknown",0x0000000180000000,Unknown,0x00003000,Not Loaded,10.0.16299.15,10.0.16299.15,10.0,14.10,10.0,10.0
6,"c:\users\black\installed\jdk-11\bin\API-MS-WIN-CORE-ERRORHANDLING-L1-1-0.DLL",2018-08-22 19:18:04,2034-11-15 11:10:27,18744,,0x0000EAD3,0x0000EAD3,x64,Console,"CV,Unknown",0x0000000180000000,Unknown,0x00003000,Not Loaded,10.0.16299.15,10.0.16299.15,10.0,14.10,10.0,10.0
6,"c:\users\black\installed\jdk-11\bin\API-MS-WIN-CORE-FILE-L1-2-0.DLL",2018-08-22 19:18:04,2005-03-03 08:53:57,18744,,0x00010E00,0x00010E00,x64,Console,"CV,Unknown",0x0000000180000000,Unknown,0x00003000,Not Loaded,10.0.16299.15,10.0.16299.15,10.0,14.10,10.0,10.0
6,"c:\users\black\installed\jdk-11\bin\API-MS-WIN-CORE-FILE-L2-1-0.DLL",2018-08-22 19:18:04,1982-07-22 11:25:30,18744,,0x0000E832,0x0000E832,x64,Console,"CV,Unknown",0x0000000180000000,Unknown,0x00003000,Not Loaded,10.0.16299.15,10.0.16299.15,10.0,14.10,10.0,10.0
